Year,_Total_Records,accurately,actionable,additionally,address,advancement,adverse events,aim of,aim to,align,all patients,analysis,aptly,associate with,association between,at least,basis of,boast,bolster,capability,captive,catalyze,cohort study,commendable,common grade,compared with,compellingly,complex,complexity,comprehend,comprehensive,control group,critical,cross-sectional,crucial,deep dive,deeper,delve,difference between,difference in,dose of,driving force,ecosystem,effect of,effectively,efficacy,effortlessly,elucidate,embark,emerge,emphasize,employ,encompass,end of,end point,endeavor,enhance,enhancement,essence,essential,ethical consideration,evaluate,examine,excel,excellently,exceptional,exercise caution,exhaustive,exhibit,expansive,explore,facilitate,finding,fortify,foster,foundation,fresh,fundamental,further research,game changer,garner,grapple,groundbreaking,harness,higher in,highlight,hypothesis,identify,illuminate,impressively,in addition,in summary,include in,increased risk,independently associated,ingenious,innovative,insight,integrate,interplay,intricacy,intricate,intriguing,invaluable,investigate,is known,journey,juxtapose,knowledge gap,landscape,less likely,leverage,logistic regression,lower in,median follow-up,methodically,meticulous,milestone,models,more likely,most common,multifaceted,navigate,necessitate,no difference,notably,noteworthy,nuanced,objective of,offer,one of,our results,outcome measure,outperform,particularly,patients who,pipeline,pivotal,placebo group,potent,potential,predominantly,primarily,primary endpoint,primary outcome,profoundly,promptly,proportion of,prowess,purpose of,randomly,ratio,realm,registered with,regression analysis,renowned,reportedly,results suggest,retrospective,revolutionize,safety,scholarly,scrutinize,seamlessly,secondary analysis,shed light,showcase,significance,significant,soil,sought to,statistically,strategically,study period,subsequently,suggest that,surpass,tapestry,testament,thereby,this study,this trial,thoroughly,thought,thoughtfully,time of,to assess,to compare,to determine,to evaluate,to examine,to identify,to investigate,to receive,transcend,transform,transformative,treatment allocation,treatment assignment,treatment of,two groups,ultimately,underscore,understanding,undoubtedly,unearth,unlocking,unveil,utilization,valuable,versatile,vital role,was found,was used,well-rounded,were assessed,were collected,were enrolled,were performed,were reported
2024,1733341,24237,2678,117821,116901,33105,26755,65451,266292,16542,27698,592710,77,306557,81401,41204,13101,990,2770,35248,961,12217,54057,739,281,101969,40,119361,28316,4294,103145,43812,102283,69238,109657,140,11044,10290,43642,107046,21114,1957,21860,233656,67803,117534,121,50981,527,87874,46931,103021,24797,21301,20125,3942,228052,26052,1022,85268,1539,289340,166208,3526,204,9479,221,1612,178786,903,192953,81815,302650,1382,12702,20112,10081,21146,29333,426,6136,826,1477,7590,35106,160807,23745,350533,4825,636,104847,14017,55956,26242,7620,286,30484,127725,74664,17006,2048,15191,3632,2106,281741,34262,4054,459,6175,20698,7654,23602,51238,17203,11805,246,2639,2161,346190,24401,47125,10109,7985,18197,20800,53604,6863,4662,30376,115397,71403,54523,19987,17046,100685,67807,6763,26758,2506,20080,356624,21308,41206,8458,29114,2711,2530,35679,258,35346,28719,133503,4000,3031,42426,1643,1098,31735,130363,6479,81298,1413,2547,1170,5148,14172,8552,61542,388975,22465,15750,55043,1407,9940,40834,154501,8526,130,139,46460,525362,3568,7075,12906,139,32600,122186,42171,87098,119004,48487,106311,116407,9519,627,28751,3798,262,183,96732,30672,24235,50502,142555,837,360,1914,15523,33188,57319,9411,5293,112679,241074,109,79913,62661,21080,134849,28238
2023,1696608,19794,2158,70070,81685,15516,25026,73100,220580,9692,29453,531163,93,294397,74731,42599,14619,338,1358,23739,982,11145,47067,227,273,112713,17,102938,21284,2621,63790,40855,85855,63749,60864,104,7275,2831,44712,103926,22608,2035,18690,236685,46296,93653,92,34329,379,66947,22766,62823,11195,21607,19414,2053,145459,19994,867,72083,852,273224,150043,2223,172,4787,114,1426,111354,641,147869,60977,242138,1033,7104,14262,9887,19296,19491,282,2437,417,597,4641,37029,104340,25538,315372,3387,546,120510,10641,56776,25434,8083,277,17227,82434,54574,9684,759,5228,2749,1453,261724,38093,2944,330,4797,14492,8014,12859,47171,17516,11202,137,1264,1844,316963,25816,50407,5058,4592,8207,22409,25039,4322,2013,29723,65491,82828,59138,18616,12393,64331,67976,6449,11031,2312,17933,287932,14336,27253,7831,26815,1887,1956,35296,126,41228,27804,128662,1815,2712,39057,597,1278,35143,129096,3875,70658,1176,1478,533,4893,9904,3388,50541,311705,21304,16329,52446,786,10310,29716,151215,3451,49,72,28882,448586,3349,5100,14060,117,35158,105909,42735,92647,115606,46766,100091,107512,9880,398,26572,1535,244,172,99850,29656,17019,11784,114450,952,255,839,6830,26328,34159,7367,5057,117535,259531,71,70366,58771,22392,140560,30294
2022,1782107,18358,2183,56223,73946,10659,25875,82881,211340,8110,32677,561564,70,311988,76623,46402,17043,126,995,21842,1020,11194,51375,91,299,128682,12,103205,20665,1500,54001,44594,86480,68520,46337,67,6427,616,47473,108793,25012,2050,18098,254519,41593,93735,104,33455,375,65094,17896,53918,6984,23335,19976,1534,133538,19737,880,70438,639,287303,156302,1801,182,3245,50,1459,95056,573,146837,57967,236574,955,6317,12921,10208,19181,17034,263,1249,276,343,3638,40442,94269,28552,323176,3073,456,129799,10861,58640,26539,9172,215,14820,71944,52956,8423,383,2126,2411,1272,269768,41284,2696,238,4191,12995,8937,9557,50344,19149,11506,125,884,1735,328779,28213,52751,4007,4008,6010,24290,18940,3059,1632,31003,56189,90764,64281,20660,10710,59419,71604,6124,9024,2538,18379,276659,13677,23475,7993,27478,1830,1682,37556,67,47490,30067,136572,954,2732,42622,354,1491,38950,134861,2582,72990,1093,1228,366,4698,7848,1908,49528,310590,21839,17230,54453,733,11650,27686,160961,1986,21,50,25764,453104,3505,4668,14765,92,38701,107438,44874,100114,123191,48775,103723,109228,10572,370,27304,1081,266,170,105930,32042,14794,5930,111644,1016,240,407,4411,24505,26246,6961,4967,125836,275384,70,74232,62420,24996,150712,32666
2021,1788086,16685,1940,52161,70797,9786,24821,89339,190888,7586,34317,552279,74,314048,73804,47599,18152,120,906,19898,1165,11144,53755,84,297,128492,24,102767,19728,1191,49928,42466,84868,69114,42786,85,6138,490,47389,105546,23624,1923,16816,248397,36250,90657,75,32778,374,64822,16641,50886,7127,24448,20160,1474,126347,19475,852,67311,604,284317,155964,1515,156,3039,68,1430,92446,539,130844,56563,229267,1004,5815,11414,9911,19608,15677,234,1127,291,336,3590,40765,90916,30742,315245,3182,384,117614,10218,54894,26900,9633,220,13642,67443,48557,8880,364,2132,2439,1321,264037,42899,2444,237,3831,12011,8576,8288,46921,19075,11543,103,977,1875,326908,27584,51482,3973,3744,5592,25196,17777,3168,1484,32191,54838,87898,65574,21696,8800,59332,72185,5559,8958,2547,18891,270278,14041,22847,7864,25734,1845,1688,36846,59,47709,29144,134113,956,2493,40996,374,1526,41110,134531,2558,71676,1062,1215,360,4396,7271,1596,47776,302675,20178,17739,52436,703,11709,26841,167728,1809,27,58,24621,423332,3314,4111,15312,72,39689,106774,44660,101575,121828,47783,101556,106201,10306,382,26727,957,269,166,106658,30054,14068,5766,109342,1118,217,394,4271,23135,24614,6838,4532,126088,261891,68,74708,60208,24497,149373,33149
2020,1641557,14129,1533,44140,60847,7640,21483,85900,149459,6581,31945,493611,55,276845,63395,42805,17395,108,706,17570,983,10839,48224,75,272,122069,21,93888,17063,1001,40769,38332,74719,59099,36450,32,5451,326,42582,93517,21484,1686,14592,225581,30227,78209,62,29001,321,55035,13831,44059,6023,22412,18183,1288,114785,18204,694,57406,640,253371,139647,1323,143,2699,76,1263,85358,429,106973,49076,199453,962,4752,9606,9132,17396,12893,184,981,227,267,2950,36505,74389,28854,276001,2848,251,105428,9177,45672,23305,8123,161,11342,57456,40612,7596,257,1773,2273,1158,239630,39761,1955,253,2888,9806,7327,5894,38453,17414,9996,75,839,1456,294386,23445,44586,3267,2928,4748,22820,14980,2939,1126,30419,47891,77190,60954,20249,6631,51782,63746,4410,7764,2485,17695,239939,12406,20115,6637,21505,1623,1452,31707,36,44587,27172,120254,853,1996,34415,309,1293,39942,116300,2230,62474,856,987,302,3762,6101,1197,42277,267696,18150,15810,46039,602,10162,24223,158596,1504,27,38,21739,368363,3240,3554,14234,87,35937,93072,39668,93523,108379,42244,88226,95499,8835,294,25586,751,258,163,98987,25916,12309,4732,95185,882,178,286,3476,20174,21171,6105,3644,115756,232744,33,66995,51923,21344,134140,29889
2019,1418740,12039,1195,36945,50239,6113,17886,79303,113037,5769,26627,436505,50,238930,54208,37959,16834,74,536,15398,926,10697,42991,54,262,108535,17,84384,14678,751,32821,34119,61027,49960,29573,34,4375,257,37616,81513,19310,1529,12644,198910,24998,65931,50,25489,296,43375,11400,38219,4982,19222,15517,1058,101215,17072,528,46671,598,217629,125691,914,102,2200,66,1125,77590,386,86816,41910,172724,873,3992,8297,8257,15047,10684,112,715,152,217,2286,31379,58724,26758,235131,2424,246,93898,7775,36756,20016,7052,133,9169,47826,35007,6252,215,1393,2056,925,213168,35351,1494,215,2155,7782,6325,4296,31592,15365,8423,68,642,1245,264030,20080,36743,2617,2123,3688,20025,12506,2686,881,27090,40015,65773,54798,18473,5639,44448,52364,3686,6453,2169,16359,202504,10931,17350,5210,17453,1380,991,26775,29,40004,24277,105718,715,1773,28867,219,1067,37512,96862,1759,50362,736,768,255,3147,4903,817,36754,231667,15594,13900,39758,486,8416,21167,146089,1181,17,49,18661,313732,2916,2939,13220,61,29052,78630,34380,83462,92595,37580,74538,83572,7968,246,23481,570,210,175,83776,21415,10150,3944,80577,648,142,222,2703,17111,17951,5432,2763,102050,200395,32,57849,42906,17966,113462,25102
2018,1351705,11110,1034,33543,46217,5375,16131,75883,96373,5220,25902,408518,33,224189,49851,36709,16866,75,502,14000,909,10266,39974,54,248,102592,15,79576,13992,668,29369,31980,57477,46274,26606,32,4057,184,35811,76223,18995,1507,11886,187229,22084,61482,62,23779,290,40226,10740,35763,4845,18551,14648,1061,95295,16293,524,43686,454,202771,121336,812,101,2034,62,1058,72155,347,76903,38610,161873,775,3644,7295,7782,14241,9721,88,574,114,196,2117,29463,53134,26751,217777,2365,204,87721,6993,32811,18513,6457,105,8254,43585,31881,5867,207,1383,1930,971,200875,34353,1392,179,1782,7052,5870,3444,28351,14297,7717,48,650,1206,251150,19181,33309,2396,1882,3512,19139,11341,2622,768,26095,37887,59855,52278,16791,4948,42493,49250,3120,6052,2064,15899,187054,10347,16884,4676,14608,1346,923,24917,31,38890,22937,98917,734,1631,27187,238,1143,37271,89441,1587,46334,647,707,232,2717,4309,719,34534,219826,14291,13249,37274,460,7840,19601,144210,1085,16,32,16848,287665,2694,2751,12987,63,27399,73465,32360,79892,85639,35980,67867,77512,7616,236,22348,587,246,160,80122,19880,9364,3882,75064,544,121,196,2224,15262,16427,4912,2314,96955,185171,35,54796,38977,16698,105229,23498
2017,1304379,10231,833,29867,42827,4795,15315,73043,84264,4818,25018,386715,39,214156,46313,35819,17065,60,459,12652,891,9711,35653,44,263,99767,12,76624,12923,577,26619,30284,54685,41948,24695,20,3779,163,34084,73223,18989,1379,10705,177540,19787,58022,43,22280,264,36840,10023,32663,4559,17693,13889,934,87754,15928,482,41868,439,191081,117538,705,96,1820,54,964,67104,285,68515,36078,152495,798,3451,6617,7412,13290,8791,77,538,111,182,1870,28215,48120,26657,205124,2110,163,81451,6328,30362,18133,6116,76,7555,39804,29087,5486,208,1290,1732,879,189433,33518,1252,193,1487,6146,5659,2738,26243,13681,7380,57,646,1120,242153,17757,31246,2100,1658,3237,18200,10353,2516,659,25049,35841,55993,50069,15669,3944,41033,46939,2625,5649,2045,15716,173398,10183,16280,4149,12708,1333,956,23125,25,37421,22117,93413,615,1479,25878,227,925,37005,81699,1376,43794,587,652,188,2430,3865,522,32019,210303,12857,12607,35720,422,7373,18218,143076,929,9,25,16101,268303,2548,2549,13006,57,26295,69088,30873,77597,80637,34114,63324,72437,7412,225,20617,432,212,191,76743,18752,8623,3750,70178,547,116,195,1916,13753,15278,4381,1889,93611,171398,20,51940,36092,15254,97783,21834
2016,1285399,9769,712,27045,40212,4365,14000,71229,75181,4467,24265,377014,33,205193,43594,34877,17862,47,382,11798,843,9428,32427,40,207,99018,20,75321,12114,519,24827,30113,52001,39727,22731,10,3463,128,33630,70791,18861,1320,10907,171371,18525,55190,39,20962,279,35171,9767,31109,4495,17503,13340,856,82906,16569,480,40230,412,182666,115893,660,63,1770,54,978,62616,308,62107,33953,143756,852,3193,6334,7442,12846,8027,64,493,98,173,1626,27693,44053,26721,194452,1944,144,77973,5819,28174,17636,5887,86,6929,36723,27385,5204,206,1255,1735,951,181781,32329,1107,196,1269,5495,5332,2218,24370,13388,6929,58,603,1027,234381,17249,29747,1968,1502,3110,17592,9236,1349,561,24003,33750,54096,47384,14801,3529,39759,45322,2409,5400,2038,15305,161127,10022,15950,3731,10850,1231,959,22208,39,35968,22164,89677,653,1209,25325,229,908,36191,76358,1323,41344,530,574,189,2133,3459,410,30887,204992,12390,11708,35074,395,7171,17323,141425,809,17,34,15422,257362,2416,2360,12819,56,25706,65309,29572,76391,77039,33476,59460,69427,7158,221,20098,407,209,175,75665,18697,8253,3554,66065,530,112,171,1683,12602,14500,4126,1554,93326,164701,21,49447,34198,14783,94408,20742
2015,1258116,9330,552,24985,37610,3752,12798,68853,67420,4068,23766,368874,56,198131,41732,34202,17935,50,367,11016,834,9755,31124,29,200,99043,17,73086,11408,502,22554,29750,49326,37438,21366,9,3101,121,33185,68223,19045,1237,10423,167171,17556,52518,39,20021,236,32716,9461,29984,4166,17088,12532,814,80265,16685,458,38790,362,175406,113848,617,80,1671,41,866,60234,287,57537,31829,138933,766,2765,5877,7043,12164,7386,47,441,80,164,1468,27149,39696,26767,185061,1799,101,75407,5424,26041,17135,5589,71,6275,34129,25322,5011,158,1128,1671,904,177701,31171,1001,208,997,4824,5015,1800,23052,13288,6542,44,546,897,230321,16165,28216,1887,1300,3023,16609,8280,1070,519,22955,31669,52128,45846,14049,3076,37551,43183,2043,5063,2053,15192,152083,9788,15556,3355,9334,1161,893,21183,44,35913,21916,86387,590,1217,24465,215,842,36330,72118,1131,39018,403,585,163,1790,3120,350,29528,200393,11446,11056,34517,395,6721,16921,142212,771,7,35,14958,246085,2330,2129,12926,38,25117,62094,28557,75152,73956,32398,55687,67836,6821,203,20182,315,219,187,74776,18444,7526,3298,61973,495,79,135,1493,11716,13520,3848,1368,93478,159115,16,47405,32062,13786,91848,19756
