Word,Group,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
delve,1,-0.863710189,-0.875048916,-0.757847175,-0.814177178,-0.531136909,-0.6745,-0.298320186,-0.390440458,-0.356187364,-0.524189322,-0.263885276,-0.03589495,0.002690514,0,0.276145941,0.488812272,0.55133505,1.017519454,1.222476039,2.049336283,2.369718687,3.755269278,5.070627748,29.3672759,107.748257
underscore,1,-2.497160376,-2.233115778,-2.01003605,-1.673282871,-1.43521317,-1.194548622,-1.104072341,-0.949830257,-0.552225145,-0.321104842,-0.278691165,-0.245520999,0,0.267614801,0.287420584,0.143645268,0.43527613,0.658857759,0.652755701,0.465818936,0.6745,1.369537299,1.578517065,8.930453477,54.02029314
meticulous,1,-0.6745,-0.756841639,0.690546222,-0.081845044,-0.872082689,-0.594268889,-0.325611057,-1.079348978,-0.562145408,-0.333525538,0.40956663,0,0.812336117,-0.201710634,-0.298763897,-0.549296015,0.541133237,1.352445127,0.906099439,0.025885008,1.844229247,2.939655485,1.376871388,9.10432229,33.23501604
boast,1,-0.6745,-0.701042798,-0.933491447,-0.486264509,-0.836714264,-0.333902776,-0.573452814,-0.404526907,0,-0.59813859,-0.243842967,-0.632166788,-0.118494018,0.200925137,0.686261136,0.634843421,0.452723492,0.993460631,1.537189638,1.346529703,2.127865753,2.203504988,2.409376451,9.775458426,31.0928039
commendable,1,-0.801983964,0.419627342,-0.726190413,-0.881880901,-0.185836424,-0.59715492,-0.480123362,-0.790116128,-0.6745,-0.095432642,-0.485186246,-0.168415748,-0.133043609,0.028989094,0.293899056,0,0.549050717,0.726918542,1.149982385,1.021532118,1.540504949,1.62824119,1.906264293,7.53619131,27.44394119
showcase,1,-0.716399476,-0.70986861,-0.6745,-0.626342272,-0.554211507,-0.556048684,-0.605897969,-0.516981451,-0.281141615,-0.185360097,-0.165249929,-0.052304498,0,0.210781426,0.503358125,0.716013415,0.946143046,1.404579244,2.148091041,2.396107039,3.261487696,4.183682541,5.188728117,10.4168243,26.99316784
surpass,1,-0.877061179,-1.03447441,-0.499125231,-0.833241613,-0.548933868,-0.6745,-0.477394269,-0.413768192,-0.376891408,-0.399757739,-0.271461045,-0.090528645,0.02029472,0,0.316308119,0.640700066,0.734685909,1.204950061,1.718556924,1.887380614,2.362952616,2.89870485,3.488148684,8.708847714,25.1015888
intricate,1,-1.319042275,-1.467626789,-1.13968472,-1.108377809,-1.101417171,-0.881775543,-0.708531396,-0.546077832,-0.36731508,-0.343708682,-0.16620517,0,0.135513372,-0.038752095,0.203689321,0.307251654,0.538708087,0.575339204,0.6745,0.554683606,0.839651935,1.165383081,1.167222616,6.64657908,23.13437394
tapestry,1,1.752573218,1.587442668,4.555264062,-0.6745,0.186061588,-0.200574249,0.00484944,-0.646865326,2.115781984,2.633923213,-0.109647256,-0.429638956,-0.348125582,-0.242151063,-0.723871574,-2.288732256,0.443224519,-1.812356825,-0.05191753,0,1.592220792,1.111591404,-0.070851739,6.025678341,22.47044904
emphasize,1,-1.3842101,-1.177736369,-1.284225963,-1.245778597,-1.229394563,-1.097545833,-0.939665331,-0.556390045,-0.451389306,-0.373064257,-0.375552677,-0.036596237,0.089136921,0,0.287536816,0.105327669,0.191969543,0.286621192,0.575340919,0.6745,1.105514742,2.078640658,2.890935973,6.620245422,21.70420186
grapple,1,-1.296690094,-0.787036132,-0.508420661,-0.313585368,-0.72248808,-0.460126891,-0.328269035,-0.956931327,-0.119371996,0.012628165,0.089261518,0.567181683,0,-0.883455015,-0.535848444,-0.419174955,0.247746038,0.714561219,0.6745,1.876131005,3.517687,4.806908768,4.39206618,9.183600843,21.34537723
intricacy,1,-1.367861829,-1.498730299,-1.322904436,-1.083964432,-1.202023322,-0.6745,-0.886073393,-0.614154724,-0.444724123,-0.292950999,-0.230408543,0,-0.358847347,0.002401081,0.021018991,0.059302902,0.720114832,0.704888926,0.584396558,0.553963803,0.649549714,1.545400844,1.761574404,6.19116959,20.18166169
symphony,1,0.543862078,-5.405036098,-0.6745,0.37414997,0.532358786,-0.030531526,-1.993153514,-0.452822619,2.224144552,-0.495196676,-1.87152085,1.050006927,-0.005057748,-0.578649513,0.217637351,-4.172981094,0,-0.6334829,-1.454009945,0.484341022,1.55072395,6.383371039,4.711291985,9.322138334,18.67638103
encompass,1,-1.171376458,-0.98017391,-1.067730034,-0.895920093,-0.827401265,-0.761240997,-0.6745,-0.436499244,-0.528176015,-0.430809439,-0.198532251,0,0.083694322,-0.033182226,0.138330282,0.311014836,0.608244875,0.605320389,0.749940165,0.63171472,0.883971341,1.396899513,1.285789942,5.586118928,17.94078487
adept,1,-1.69739174,1.259407646,-1.404830051,-1.103656996,-1.843757979,-1.958294528,-0.056027806,-0.177764463,0.125961439,1.408398643,-1.021309694,0.6745,-0.596431414,-0.335537615,0,-0.459503518,0.717538848,0.114051148,0.375825859,1.899552074,0.390495742,0.288327918,-0.240030565,3.045097339,15.10990743
garner,1,-0.869741685,-0.822225655,-0.859919517,-0.734115782,-0.756592003,-0.6894902,-0.551377885,-0.578175932,-0.461640971,-0.348120392,-0.231812417,-0.159099504,0,0.076939405,0.162390811,0.337992246,0.487867012,0.619151568,0.6745,1.03458713,1.459665086,1.60802358,1.9284062,5.267557317,14.81729099
realm,1,-1.227595855,-0.701886925,-0.956075939,-0.909133198,-0.748917491,-0.610987511,-0.350767811,-0.399920828,-0.478875971,-0.33719145,0,-0.181462164,0.167871164,-0.023024924,0.063549083,0.418247087,0.704104519,0.436792909,0.960298882,0.6745,0.789119623,0.899055219,0.90396613,4.81557577,13.87551012
cutting-edge,1,-0.869835864,-0.558765793,0.046152744,-0.899819219,-0.718075295,-0.752885333,-0.646234944,-0.57263768,-0.6745,-0.298945443,-0.34224079,0,0.275893205,-0.04691536,-0.136373104,0.311079724,0.54814709,0.858763453,1.465458209,1.382487527,1.889578851,2.809390192,3.993587925,8.165222535,13.84813023
impressively,1,-0.650003169,-0.303461654,-0.623554471,-0.434800839,-0.68024816,-0.618777768,-0.353556598,-1.155433851,-0.940979139,0.192012713,-0.211056851,-0.199914195,-0.004118619,0,0.088053393,0.6745,2.095790721,2.674949163,3.836981758,4.842999267,3.925755909,6.694676741,8.535609991,11.48767507,13.50678337
groundbreaking,1,-1.30082093,-1.377090067,-0.957315902,-1.172596333,-0.614227759,-1.087014425,-0.596830197,-0.539915717,-0.384274349,-0.169403826,-0.111631154,-0.050284429,0.096494194,0,0.381755592,0.514443831,0.588314567,0.6745,0.76994762,0.90863622,1.077780147,1.518388127,1.597910367,4.378485117,13.10400578
unlock,1,-0.817605122,-0.62068297,-0.6745,-0.817651267,-0.715545946,-0.567014541,-0.552498568,-0.504625578,-0.458817361,-0.406423772,-0.286878167,-0.245934677,0,0.033466512,0.438576338,0.465660828,0.765764486,1.261184622,1.490319564,1.566426746,2.229124697,3.165553536,3.435585041,6.272472241,12.96731549
comprehend,1,-0.832699001,-0.911807547,-0.757757237,-0.682085834,-0.707671439,-0.6745,-0.231259383,-0.356853772,-0.124183352,-0.098983671,0,-0.026447906,0.078125644,-0.040998476,0.23352066,0.294026427,0.322711491,0.555412061,0.867980967,1.079950141,1.565033445,1.904454272,2.963486085,7.203514796,12.82625765
leverage,1,-0.731838047,-0.731271812,-0.72244857,-0.6745,-0.672424474,-0.582930298,-0.550856349,-0.521182634,-0.442537118,-0.383425202,-0.335231097,-0.142659122,0,0.134712792,0.311441214,0.589103762,0.884571139,1.258936583,1.708727521,2.189922948,2.753607272,3.800520459,4.529739795,6.751071241,12.80150448
renowned,1,-0.910612746,-0.989639347,-0.964886476,-0.565063022,-0.609688121,-0.77941624,-0.6745,-0.375469989,-0.236892537,-0.227631607,-0.214098653,-0.024066713,0.181678083,0,0.278895901,0.655624089,0.761912644,0.701548352,0.731467154,0.413815798,0.909399901,1.215551903,1.061627349,3.303533139,12.02315942
pivotal,1,-1.596015797,-1.391469903,-1.228187269,-1.014177134,-0.729970995,-0.698494407,-0.581952404,-0.515415892,-0.469700909,-0.322411249,-0.047152076,-0.024864773,0.042600458,0,0.098293001,0.22642274,0.401246625,0.529591978,0.6745,0.74481568,0.924085355,1.201188121,1.254441661,2.676825381,11.51444431
noteworthy,1,-0.743965811,-0.789984205,-0.6745,-0.735517218,-0.50540041,-0.555648423,-0.26143089,-0.158163613,-0.208812588,-0.389234924,-0.071247076,-0.111041686,0.036487558,0.127754357,0,0.12198476,0.828111095,3.948544269,3.987167927,3.822017636,3.457049795,3.390887487,3.194948269,6.143365118,11.15351176
bolster,1,-0.81195063,-1.000603069,-0.698202827,-0.684177581,-0.6745,-0.518765022,-0.195516114,-0.361814308,-0.294344985,-0.033235485,0,-0.098490719,-0.014854523,0.193632126,0.389019421,0.554085776,0.598190424,1.038657217,1.195583777,1.247248532,1.668158882,2.284947652,2.700721316,4.64986819,11.07192523
compel,1,-4.648049117,-3.148323746,-3.167313003,-2.231054463,-1.432425938,-1.851586302,-1.126527529,-0.942479329,-0.605873201,-0.6745,-0.294209665,0.097234506,-0.415871666,0,0.321044249,0.774012821,0.443350122,0.754379692,0.300539417,0.604387344,0.341202381,0.386491313,0.141116827,3.230877981,10.86698627
unveil,1,-0.874636314,-0.811617046,-0.718421543,-0.69317835,-0.6745,-0.635167395,-0.575819009,-0.458280895,-0.422676971,-0.323987915,-0.210876097,-0.091188683,0,0.157591184,0.280159118,0.422672938,0.587501042,0.801996943,1.039147198,1.388469708,1.673819945,2.038201001,2.154567013,4.238701754,10.8651851
prowess,1,-1.737137104,-1.432670492,1.907137185,3.669481071,1.79181251,0.616901408,0.999802276,0.709459841,-0.478846918,-0.272839749,-0.539969724,-0.353942209,0.327378558,-0.070848545,-0.497187402,0.421822035,0,-1.017614584,-0.6745,-0.901552283,-0.765892801,0.241813914,0.660685444,4.00002869,10.7915811
elevate,1,-2.159269649,-2.329987596,-1.712188465,-1.361323808,-1.209168206,-0.84089468,-0.776005943,-0.331515541,-0.03247786,-0.642972396,-0.35360757,-0.037064519,0,0.261660951,0.379095317,0.273476139,0.6745,0.831061746,0.849289175,0.845223624,0.564526902,0.578719433,0.581278426,1.808675196,10.73488588
advancement,1,-0.817882414,-0.748863852,-0.775651875,-0.760463378,-0.610547691,-0.6745,-0.580718504,-0.454260378,-0.405831408,-0.321335691,-0.21166843,-0.085248791,0,0.104713263,0.228273271,0.27976329,0.545068706,0.72483539,0.917517236,1.130670647,1.352208584,1.877418962,2.203428974,4.233127405,10.61799748
holistic,1,-0.938570393,-0.741791509,-0.63252713,-0.328583779,-0.315034082,-0.176610291,-0.054673898,-0.145242162,-0.163006192,-0.176015497,-0.07193743,-0.21912718,0,0.310935807,0.6745,0.996903725,1.418634417,1.378587374,1.911762148,2.25560747,3.372801024,4.608714005,5.705307377,6.996485423,10.61768184
captivate,1,-0.547486902,-1.196264989,-1.206091516,-0.934196221,-1.152291618,-0.93978557,-0.6745,-0.352086943,-0.421757798,-0.601255553,0,-0.44985794,0.576853994,0.073278535,-0.141029081,0.073028554,0.348876959,0.583200104,0.80422312,1.656078992,0.707525905,1.574539719,1.457355422,5.290337556,10.32501268
transformative,1,-0.716865361,-0.66759415,-0.753297103,-0.743528875,-0.692343816,-0.6745,-0.669236919,-0.585479415,-0.45068597,-0.369803188,-0.290326166,-0.186679162,0.01727697,0,0.233167492,0.343263116,0.67042937,0.742317166,1.251264396,1.090784606,1.365947132,1.749689412,2.102121815,3.574347738,9.926179412
safeguard,1,-0.975485511,-0.961296001,-0.793475253,-0.910365407,-0.557252401,-0.6745,-0.883026228,-0.557604431,-0.507480798,-0.345790785,-0.357971018,-0.213665864,0,0.094371076,0.085770716,0.356124215,0.453002826,0.516200306,0.762891984,0.87777286,1.926865102,2.217354708,2.470637468,4.495767637,9.722197572
ingeniously,1,-0.6745,-0.679941776,-0.873079891,-0.339433586,-0.211803037,-0.571110477,-0.027210998,-0.738643156,0.137560072,-0.270537205,-0.64856351,-0.562189983,0,-0.229325664,0.442740609,1.228641019,0.772610629,0.66757218,1.239619764,2.481709216,2.477362141,1.847892973,3.044026121,5.797406377,8.890101758
pioneer,1,-1.167291349,-0.843192477,-0.6745,-0.272182902,-0.606059052,-0.745728161,-0.556291329,-0.233062772,-0.295257278,-0.325084863,-0.207493124,0.263237381,-0.042281909,0,0.420114499,0.585512997,0.892100902,0.864812656,1.295580257,1.199895129,1.166613825,1.476060551,1.654607423,3.058800847,8.854870548
notably,1,-0.9880106,-0.92237738,-0.874907186,-0.816272446,-0.6745,-0.631001752,-0.599877387,-0.492754365,-0.433111099,-0.335077239,-0.209520573,-0.088973704,0,0.10677431,0.243596565,0.34015748,0.532698229,0.772332091,0.916736776,1.052116368,1.151126241,1.411364436,1.630012103,2.946578631,8.099806035
embark,1,-0.6745,-1.098071118,-3.11246802,-0.421750499,-1.159972186,-3.023099343,0.539615831,-0.435128095,-0.057943199,-0.077099284,0,0.311325959,2.164875073,1.075986211,2.251473243,-1.282270332,1.050576693,-0.109712123,0.851970837,0.38430906,-0.65186099,0.42594584,0.525921605,1.551959512,7.936001878
nuance,1,-0.781417711,-0.807459206,-0.757186359,-0.6745,-0.615538751,-0.555813988,-0.511855064,-0.546869975,-0.414910212,-0.304103563,-0.214371778,-0.179667489,0,0.126280836,0.415249288,0.630147464,0.766496242,1.056128619,1.249309346,1.518488102,1.732006263,2.396077904,2.538999536,3.467706792,7.76955189
excel,1,-1.137208777,-1.01043597,-0.81323485,-0.865607336,-0.6745,-0.601319357,-0.497872306,-0.426100045,-0.350489253,-0.392846577,-0.32282789,-0.209623419,0.149481818,0,0.244869794,0.532350054,0.638406755,0.762804642,1.040044214,1.240306034,1.984576183,2.174813636,2.92653072,4.305732694,7.63780384
mitigate,1,-0.772607296,-0.756396752,-0.729455588,-0.709722497,-0.662237333,-0.610942094,-0.570348325,-0.480288497,-0.412578993,-0.33613202,-0.220403372,-0.116900291,0,0.144840846,0.303658263,0.437202046,0.6745,0.8652668,1.179887229,1.491195457,2.198440179,2.770727992,3.059213528,3.995436446,7.608559852
crucial,1,-1.226433166,-1.049181097,-0.975399233,-0.835299532,-0.759548253,-0.6745,-0.533347826,-0.450948519,-0.398166812,-0.283766697,-0.15945894,-0.07237382,0,0.101654474,0.203462788,0.307745079,0.417525739,0.612898807,0.730417058,0.912156495,1.124994977,1.394780141,1.719186843,3.26427747,7.550767067
unwavering,1,-0.818478642,-0.827875819,-0.192423877,-0.854220793,-1.161397998,-0.639939574,-0.6745,-0.92924479,0.147525642,-0.328994365,-0.192126163,-0.26662779,-0.491314398,0.267895359,0.353419721,0,0.401629342,0.798968311,0.054711847,1.155896677,1.50895293,1.290123806,1.093358414,3.14477415,7.479165228
testament,1,-0.327701094,-0.16774245,-1.316273295,3.899078764,0.39215621,0,0.690458248,0.09896139,-0.6745,1.144349582,1.09034039,0.547282529,-0.813176158,0.272317439,-0.530832368,-0.105717964,-0.303713085,-1.357666356,-0.705505009,0.866288331,-0.781462216,0.562343758,-0.071385307,2.009248981,7.471570474
invaluable,1,-3.273604287,-2.416057874,-3.012344577,-2.59554466,-2.09223034,-2.612428264,-0.64847111,-1.129850814,-0.490721965,-0.327921809,-0.29753132,0.540528598,0.6745,0.415575855,0.927388256,0.628224854,0.92809174,0,0.625650104,-0.298164456,0.426662756,0.920916208,0.553177232,2.568151012,7.467139904
revolutionized,1,-0.749734399,-0.82290607,-0.735671872,-0.841278739,-0.610589017,-0.6745,-0.603455817,-0.507541372,-0.432074317,-0.252883233,-0.110794867,-0.035483715,0,0.059617631,0.24136074,0.334677587,0.647178451,0.708714898,0.994534618,1.152261339,1.436805046,1.609771968,1.653585746,3.656643154,7.143850008
offer,1,-1.198301065,-1.117245626,-1.007207508,-0.881394693,-0.831562513,-0.6745,-0.613112683,-0.498456615,-0.46738969,-0.331197203,-0.162742619,-0.075521814,0,0.059500627,0.173770785,0.247106376,0.425228422,0.625738188,0.716320683,0.745150477,0.904363578,1.149772112,1.291160594,2.4524394,7.046209842
valuable,1,-1.194943372,-1.050470745,-1.012932362,-0.949844127,-0.765475576,-0.701791146,-0.644591825,-0.536079701,-0.463633732,-0.432847427,-0.271552667,-0.090739433,0,0.079639507,0.211299646,0.253520787,0.413438794,0.542826392,0.6745,0.824139943,0.897205451,1.157188899,1.445096201,3.063138089,6.934451166
particularly,1,-1.492171492,-1.46686846,-1.363291327,-1.264625592,-1.088149816,-0.994747077,-0.823024598,-0.609821717,-0.632546922,-0.492810825,-0.292573683,-0.183299764,0,0.166631556,0.365354972,0.299416532,0.551877078,0.6745,0.669543196,0.644539137,0.694655295,1.075917305,1.113206032,2.178571501,6.875013422
endeavor,1,-1.216617778,-0.966393954,-1.039262811,-0.870692716,-0.874691491,-0.839021594,-0.716779269,-0.703075697,-0.652811311,-0.496026205,-0.295515641,0,0.101328528,-0.027183378,0.040683903,0.10291975,0.181411754,0.389053811,0.6745,0.512050309,0.673198844,0.837807459,0.988782946,2.436140364,6.845814696
enigma,1,2.820392159,2.364653454,3.904125202,0.504091164,-2.476300622,-1.067951338,0.06665252,0.550344991,0.249569197,0.300440012,-1.226607841,-2.212460734,0,-0.351898444,-0.117019664,-0.586357498,-1.181697138,-0.6745,-0.522894897,-0.645706783,1.513028998,-0.154039515,0.899809023,1.82387822,6.556039266
effectively,1,-1.168076438,-1.094904807,-0.956756309,-0.88370754,-0.742208208,-0.6745,-0.589430713,-0.4812574,-0.413309881,-0.307694965,-0.238711999,-0.164577207,0,0.101555281,0.229455635,0.325430552,0.438342697,0.625301559,0.913512987,1.22979104,1.425619669,1.884369097,2.6408239,3.614880104,6.53336556
