WORDs,Modified_Z_score,Number of records using the relevant words/phrases,Group
delve,107.748257,16045,1
underscore,54.02029314,124125,1
primarily,51.81327927,368663,1
meticulous,33.23501604,15136,1
boast,31.00705081,2277,1
commendable,27.44394119,1665,1
showcase,26.99316784,20800,1
surpass,25.0852111,27479,1
intricate,23.13437394,40679,1
tapestry,22.47044904,482,1
unlocking,22.22449723,5524,1
emphasize,21.70420186,254731,1
grapple,21.34537723,3383,1
intricacy,20.18166169,5961,1
promptly,18.51089059,22395,1
encompass,17.98623418,114241,1
necessitate,16.88535711,84921,1
deep dive,15.61604541,619,1
exceptional,15.48571946,45635,1
garner,14.81729099,17088,1
realm,13.87551012,16345,1
impressively,13.50678337,3838,1
groundbreaking,13.10400578,4913,1
profoundly,13.03006408,28449,1
comprehend,12.82625765,17405,1
leverage,12.80150448,81123,1
renowned,12.02315942,5693,1
pivotal,11.51444431,133265,1
methodically,11.28726936,1313,1
noteworthy,11.15351176,39685,1
bolster,11.07192523,11373,1
unveil,10.85568805,52374,1
prowess,10.7915811,1114,1
advancement,10.61799748,126186,1
transformative,9.929624917,11764,1
exercise caution,9.528593993,1184,1
seamlessly,8.711098012,4744,1
nuanced,8.523918584,15995,1
notably,8.099806035,236220,1
scrutinize,7.98577603,14722,1
embark,7.936001878,5845,1
complex,7.701170184,1610661,1
excel,7.63780384,17729,1
invaluable,7.613253431,19553,1
crucial,7.550767067,576555,1
testament,7.471570474,902,1
ethical consideration,7.405451263,8802,1
well-rounded,7.321390357,623,1
revolutionize,7.143850008,32593,1
ingenious,7.12609672,2136,1
offer,7.046209842,779246,1
expansive,7.01657809,6847,1
actionable,6.939347206,16013,1
valuable,6.934451166,345639,1
particularly,6.875013422,862961,1
endeavor,6.845814696,21266,1
effectively,6.53336556,460855,1
thereby,6.479995111,353807,1
foster,6.451498993,74189,1
employ,6.432305596,724743,1
utilization,6.287491299,290925,1
game changer,6.276978437,1909,1
predominantly,6.205541695,230799,1
transcend,5.936374298,4893,1
navigate,5.915347658,39505,1
multifaceted,5.887963275,49253,1
essence,5.80589775,11524,1
knowledge gap,5.759547807,32952,1
align,5.63563175,103403,1
subsequently,5.535820636,388534,1
essential,5.485751473,915763,1
strategically,5.465065337,9160,1
additionally,5.426126412,648274,1
exhibit,5.256117672,1386494,1
innovative,5.184299234,164030,1
foundation,5.148347826,146692,1
harness,5.01586183,39825,1
comprehensive,4.878269261,592107,1
enhance,4.865339129,1859012,1
