"Search query: ((""be presented""[Text Word]) OR (""is presented""[Text Word]) OR (""are presented""[Text Word]) OR (""was presented""[Text Word]) OR (""were presented""[Text Word]) OR (""being presented""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,6031
2023,17074
2022,18512
2021,19164
2020,17931
2019,15996
2018,15989
2017,15165
2016,15703
2015,15664
2014,15447
2013,14993
2012,14708
2011,14379
2010,13748
2009,13101
2008,13019
2007,12505
2006,12361
2005,11698
2004,10753
2003,9697
2002,9414
2001,9525
2000,9262
1995,1
