"Search query: ((""be shown""[Text Word]) OR (""is shown""[Text Word]) OR (""are shown""[Text Word]) OR (""was shown""[Text Word]) OR (""were shown""[Text Word]) OR (""being shown""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,5420
2023,16358
2022,18035
2021,18231
2020,17449
2019,16134
2018,15944
2017,15675
2016,16035
2015,16358
2014,16254
2013,15965
2012,15681
2011,15149
2010,14586
2009,13837
2008,13296
2007,12714
2006,12395
2005,11847
2004,10823
2003,9793
2002,9495
2001,9445
2000,9329
1998,1
1995,1
1993,1
