"Search query: ((""associate with""[Text Word]) OR (""associates with""[Text Word]) OR (""associated with""[Text Word]) OR (""associating with""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2025,1
2024,115375
2023,292914
2022,311080
2021,313708
2020,276606
2019,238730
2018,224185
2017,214137
2016,205203
2015,198120
2014,187298
2013,175380
2012,161053
2011,145754
2010,130089
2009,117551
2008,108949
2007,99959
2006,91060
2005,81837
2004,71990
2003,64908
2002,59805
2001,55637
2000,52666
1999,14
1998,11
1995,5
1994,10
1993,266
