"Search query: ((""base on""[Text Word]) OR (""bases on""[Text Word]) OR (""based on""[Text Word]) OR (""basing on""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2025,3
2024,91515
2023,241377
2022,250493
2021,229914
2020,197189
2019,166929
2018,152687
2017,139826
2016,133162
2015,125774
2014,117611
2013,108378
2012,100120
2011,90417
2010,81012
2009,72367
2008,66949
2007,61993
2006,56956
2005,50962
2004,44089
2003,37939
2002,35033
2001,32384
2000,29593
1999,8
1998,4
1995,5
1994,72
1993,182
