"Search query: ((""characterize by""[Text Word]) OR (""characterizes by""[Text Word]) OR (""characterized by""[Text Word]) OR (""characterizing by""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,19410
2023,45427
2022,44468
2021,44439
2020,40801
2019,36022
2018,33850
2017,32126
2016,31537
2015,31143
2014,29739
2013,28534
2012,26538
2011,24690
2010,22634
2009,20413
2008,19008
2007,17819
2006,16431
2005,14892
2004,12839
2003,11382
2002,10749
2001,10015
2000,9416
1999,20
1998,19
1995,3
1993,583
