"Search query: ((""compare to""[Text Word]) OR (""compares to""[Text Word]) OR (""compared to""[Text Word]) OR (""comparing to""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,70495
2023,167550
2022,166794
2021,162930
2020,140300
2019,120883
2018,114598
2017,106973
2016,99744
2015,92402
2014,84574
2013,78548
2012,72236
2011,64433
2010,56614
2009,49056
2008,46239
2007,42545
2006,38420
2005,34265
2004,29535
2003,25146
2002,23022
2001,21447
2000,20693
1999,1
1998,1
1995,1
1994,14
1993,16
