"Search query: ((""compare with""[Text Word]) OR (""compares with""[Text Word]) OR (""compared with""[Text Word]) OR (""comparing with""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2025,1
2024,39739
2023,112478
2022,128368
2021,128346
2020,121985
2019,108437
2018,102604
2017,99770
2016,99035
2015,99040
2014,95167
2013,90045
2012,83982
2011,76575
2010,69266
2009,63675
2008,59787
2007,56228
2006,52550
2005,49206
2004,43856
2003,40797
2002,37584
2001,35525
2000,34006
1995,1
1994,5
1993,1
