"Search query: ((""correlate with""[Text Word]) OR (""correlates with""[Text Word]) OR (""correlated with""[Text Word]) OR (""correlating with""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,17069
2023,45244
2022,50358
2021,49437
2020,44115
2019,38890
2018,36535
2017,35021
2016,34141
2015,33638
2014,31822
2013,30058
2012,27558
2011,24934
2010,22084
2009,20016
2008,19071
2007,17597
2006,16155
2005,14911
2004,13141
2003,12214
2002,11229
2001,10782
2000,10303
1995,1
