"Search query: ((""define as""[Text Word]) OR (""defines as""[Text Word]) OR (""defined as""[Text Word]) OR (""defining as""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2025,1
2024,10430
2023,26489
2022,27790
2021,27909
2020,24524
2019,21242
2018,19617
2017,18602
2016,17890
2015,16527
2014,15241
2013,14261
2012,12773
2011,11676
2010,10434
2009,9262
2008,8396
2007,7612
2006,6970
2005,6350
2004,5412
2003,4824
2002,4479
2001,4052
2000,3780
1998,2
1993,15
