"Search query: ((""determine by""[Text Word]) OR (""determines by""[Text Word]) OR (""determined by""[Text Word]) OR (""determining by""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,6967
2023,19721
2022,22317
2021,22911
2020,22326
2019,21072
2018,20368
2017,19790
2016,19909
2015,20202
2014,20153
2013,19467
2012,19195
2011,18309
2010,17111
2009,16178
2008,15828
2007,15199
2006,14671
2005,14072
2004,12703
2003,11718
2002,11177
2001,10747
2000,10345
1999,1
1995,1
1993,19
