"Search query: ((""elevate""[Text Word]) OR (""elevates""[Text Word]) OR (""elevated""[Text Word]) OR (""elevating""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,20156
2023,43104
2022,43427
2021,43634
2020,40045
2019,34970
2018,33336
2017,32144
2016,31504
2015,30386
2014,29235
2013,27766
2012,26071
2011,24372
2010,22236
2009,20490
2008,19996
2007,18582
2006,17427
2005,16232
2004,14616
2003,13505
2002,12669
2001,11970
2000,11719
1999,4
1998,2
1994,4
1993,87
