"Search query: ((""elucidate""[Text Word]) OR (""elucidates""[Text Word]) OR (""elucidated""[Text Word]) OR (""elucidating""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,17088
2023,34224
2022,33379
2021,32742
2020,28987
2019,25470
2018,23781
2017,22280
2016,20960
2015,20020
2014,18955
2013,17617
2012,16315
2011,14838
2010,13396
2009,12062
2008,11468
2007,10510
2006,9444
2005,8750
2004,7756
2003,6968
2002,6484
2001,5904
2000,5351
1995,1
1993,2
