"Search query: ((""employ""[Text Word]) OR (""employs""[Text Word]) OR (""employed""[Text Word]) OR (""employing""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,34415
2023,62611
2022,53797
2021,50826
2020,44019
2019,38197
2018,35760
2017,32659
2016,31106
2015,29983
2014,27882
2013,26146
2012,24378
2011,22046
2010,19705
2009,17916
2008,16611
2007,15182
2006,14297
2005,12939
2004,10953
2003,9521
2002,8759
2001,8346
2000,7609
1994,2
1993,6
