"Search query: ((""encounter""[Text Word]) OR (""encounters""[Text Word]) OR (""encountered""[Text Word]) OR (""encountring""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2025,1
2024,6198
2023,14663
2022,14776
2021,14800
2020,13087
2019,10870
2018,10467
2017,9930
2016,9737
2015,9575
2014,9000
2013,8567
2012,8080
2011,7463
2010,6915
2009,6301
2008,5958
2007,5459
2006,5317
2005,4924
2004,4302
2003,4035
2002,3931
2001,3623
2000,3429
1995,1
1993,1
