"Search query: ((""explore""[Text Word]) OR (""explores""[Text Word]) OR (""explored""[Text Word]) OR (""exploring""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2025,1
2024,65574
2023,147202
2022,146435
2021,130676
2020,106894
2019,86771
2018,76898
2017,68512
2016,62113
2015,57529
2014,52777
2013,46985
2012,42050
2011,36954
2010,31632
2009,27396
2008,24636
2007,21747
2006,19513
2005,16782
2004,14098
2003,11818
2002,10295
2001,9206
2000,8306
1994,12
1993,3
