"Search query: ((""facilitate""[Text Word]) OR (""facilitates""[Text Word]) OR (""facilitated""[Text Word]) OR (""facilitating""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2025,1
2024,28102
2023,60633
2022,57754
2021,56472
2020,49021
2019,41879
2018,38611
2017,36070
2016,33950
2015,31827
2014,29871
2013,27819
2012,25354
2011,22878
2010,20543
2009,18308
2008,16803
2007,15237
2006,13865
2005,12644
2004,11268
2003,9723
2002,8839
2001,8234
2000,7677
1999,2
1998,1
1995,2
1994,3
1993,33
