"Search query: ((""have shown""[Text Word]) OR (""has shown""[Text Word]) OR (""had shown""[Text Word]) OR (""having shown""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,12341
2023,32419
2022,32773
2021,31894
2020,28085
2019,23856
2018,22184
2017,20744
2016,20307
2015,19536
2014,19150
2013,18173
2012,17270
2011,16182
2010,14930
2009,13565
2008,12768
2007,12013
2006,11612
2005,10759
2004,9675
2003,8710
2002,8319
2001,7758
2000,7363
1999,1
1998,1
1993,8
