"Search query: ((""indicate that""[Text Word]) OR (""indicates that""[Text Word]) OR (""indicated that""[Text Word]) OR (""indicating that""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,37130
2023,95075
2022,102807
2021,101782
2020,95895
2019,88234
2018,84455
2017,80929
2016,78279
2015,77360
2014,75119
2013,71917
2012,67596
2011,64161
2010,59062
2009,55052
2008,53489
2007,51460
2006,48845
2005,46181
2004,42504
2003,39339
2002,37888
2001,37219
2000,36155
1999,1
1995,4
