"Search query: ((""be consistent""[Text Word]) OR (""is consistent""[Text Word]) OR (""are consistent""[Text Word]) OR (""was consistent""[Text Word]) OR (""were consistent""[Text Word]) OR (""being consistent""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,5047
2023,13889
2022,14845
2021,14769
2020,13571
2019,12321
2018,12144
2017,11688
2016,11760
2015,11948
2014,11363
2013,11329
2012,10879
2011,10409
2010,9522
2009,9097
2008,9080
2007,8634
2006,8340
2005,8194
2004,7348
2003,6775
2002,6575
2001,6467
2000,6280
1994,1
1993,3
