"Search query: ((""obtain from""[Text Word]) OR (""obtains from""[Text Word]) OR (""obtained from""[Text Word]) OR (""obtaining from""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,10708
2023,28821
2022,30235
2021,29854
2020,27032
2019,23910
2018,22472
2017,21490
2016,21447
2015,20917
2014,20364
2013,19552
2012,18678
2011,17507
2010,16118
2009,15058
2008,14577
2007,13968
2006,13302
2005,12473
2004,11107
2003,9926
2002,9498
2001,9214
2000,8765
1995,2
1993,3
