"Search query: ((""optimize""[Text Word]) OR (""optimizes""[Text Word]) OR (""optimized""[Text Word]) OR (""optimizeing""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,14787
2023,35788
2022,34838
2021,32009
2020,27854
2019,24054
2018,22370
2017,19750
2016,18553
2015,17434
2014,16633
2013,15091
2012,13904
2011,12190
2010,10722
2009,9307
2008,8606
2007,7698
2006,6763
2005,5577
2004,4672
2003,3801
2002,3284
2001,3080
2000,2712
1999,3
1998,1
1995,1
1994,1
1993,30
