"Search query: ((""participant be""[Text Word]) OR (""participants be""[Text Word]) OR (""participant is""[Text Word]) OR (""participants are""[Text Word]) OR (""participant was""[Text Word]) OR (""participants were""[Text Word]) OR (""participant being""[Text Word]) OR (""participants being""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,12362
2023,31330
2022,32666
2021,30295
2020,25295
2019,21293
2018,19282
2017,17526
2016,16255
2015,15083
2014,13527
2013,12111
2012,10342
2011,8899
2010,7422
2009,6337
2008,5565
2007,4836
2006,4040
2005,3336
2004,2750
2003,2234
2002,1894
2001,1660
2000,1489
