"Search query: ((""relate to""[Text Word]) OR (""relates to""[Text Word]) OR (""related to""[Text Word]) OR (""relating to""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,40317
2023,109500
2022,119592
2021,116147
2020,99274
2019,81970
2018,75413
2017,71217
2016,68396
2015,65902
2014,62564
2013,59266
2012,55093
2011,51374
2010,46560
2009,42378
2008,40499
2007,37588
2006,34846
2005,31882
2004,28224
2003,26121
2002,24526
2001,23294
2000,22112
1999,2
1998,1
1995,1
1994,2
1993,37
