"Search query: ((""show that""[Text Word]) OR (""shows that""[Text Word]) OR (""showed that""[Text Word]) OR (""showing that""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,68943
2023,203841
2022,222505
2021,204402
2020,182525
2019,161216
2018,149435
2017,141064
2016,135295
2015,131540
2014,126621
2013,119173
2012,111884
2011,102781
2010,93800
2009,85850
2008,80969
2007,75512
2006,69859
2005,63320
2004,55246
2003,48708
2002,45328
2001,42101
2000,39668
1995,3
1994,2
