"Search query: ((""suggest that""[Text Word]) OR (""suggests that""[Text Word]) OR (""suggested that""[Text Word]) OR (""suggesting that""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,57285
2023,150545
2022,160579
2021,167573
2020,158484
2019,146005
2018,144206
2017,143070
2016,141400
2015,142210
2014,138944
2013,135486
2012,129406
2011,122161
2010,113222
2009,106284
2008,102951
2007,98629
2006,94326
2005,88524
2004,80188
2003,75045
2002,72110
2001,69878
2000,68759
1999,3
1998,1
1995,7
1994,3
1993,31
