"Search query: ((""utilize""[Text Word]) OR (""utilizes""[Text Word]) OR (""utilized""[Text Word]) OR (""utilizing""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,33472
2023,64512
2022,54018
2021,49698
2020,42582
2019,35822
2018,32548
2017,29166
2016,26993
2015,24898
2014,22982
2013,20581
2012,18970
2011,17220
2010,14997
2009,13341
2008,12486
2007,11281
2006,10252
2005,9268
2004,8033
2003,7041
2002,6540
2001,6194
2000,5668
1995,3
1994,1
1993,3
