"Search query: ((""be measured""[Text Word]) OR (""is measured""[Text Word]) OR (""are measured""[Text Word]) OR (""was measured""[Text Word]) OR (""were measured""[Text Word]) OR (""being measured""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,17053
2023,46943
2022,52215
2021,54697
2020,51857
2019,47903
2018,46468
2017,44647
2016,44952
2015,44834
2014,43498
2013,41787
2012,39568
2011,36341
2010,33217
2009,30773
2008,29575
2007,27635
2006,26440
2005,24763
2004,22029
2003,20415
2002,19440
2001,18402
2000,17859
1993,1
