"Search query: ((""be performed""[Text Word]) OR (""is performed""[Text Word]) OR (""are performed""[Text Word]) OR (""was performed""[Text Word]) OR (""were performed""[Text Word]) OR (""being performed""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2025,3
2024,51259
2023,139827
2022,150301
2021,149140
2020,133949
2019,113288
2018,105242
2017,97775
2016,94421
2015,91845
2014,86651
2013,80185
2012,73531
2011,67330
2010,60369
2009,54835
2008,51635
2007,47622
2006,44426
2005,41179
2004,36564
2003,33702
2002,30900
2001,29593
2000,27972
1999,10
1998,1
1995,1
1993,49
