"Search query: ((""be used""[Text Word]) OR (""is used""[Text Word]) OR (""are used""[Text Word]) OR (""was used""[Text Word]) OR (""were used""[Text Word]) OR (""being used""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2025,1
2024,92103
2023,258474
2022,274722
2021,261542
2020,232560
2019,200232
2018,185171
2017,171364
2016,164703
2015,159100
2014,150158
2013,140069
2012,130860
2011,118124
2010,107182
2009,96698
2008,91218
2007,84991
2006,79189
2005,72273
2004,64223
2003,57602
2002,53108
2001,50412
2000,46976
1999,6
1998,6
1995,3
1994,7
1993,111
