"Search query: ((""be collected""[Text Word]) OR (""is collected""[Text Word]) OR (""are collected""[Text Word]) OR (""was collected""[Text Word]) OR (""were collected""[Text Word]) OR (""being collected""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,21918
2023,58331
2022,62239
2021,60131
2020,51891
2019,42864
2018,38975
2017,36093
2016,34203
2015,32054
2014,30525
2013,27928
2012,25311
2011,22403
2010,19381
2009,17173
2008,15975
2007,14503
2006,12894
2005,11504
2004,9770
2003,8650
2002,7709
2001,7237
2000,6425
