"Search query: ((""be determined""[Text Word]) OR (""is determined""[Text Word]) OR (""are determined""[Text Word]) OR (""was determined""[Text Word]) OR (""were determined""[Text Word]) OR (""being determined""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2024,14620
2023,40107
2022,43422
2021,44348
2020,42053
2019,38654
2018,36716
2017,35356
2016,35581
2015,35809
2014,35470
2013,33809
2012,32835
2011,30694
2010,28502
2009,26586
2008,25920
2007,25031
2006,23792
2005,22547
2004,20279
2003,18701
2002,17757
2001,16971
2000,16101
1995,2
