"Search query: ((""be significantly""[Text Word]) OR (""is significantly""[Text Word]) OR (""are significantly""[Text Word]) OR (""was significantly""[Text Word]) OR (""were significantly""[Text Word]) OR (""being significantly""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/04/30""[Date - Publication]))"
Year,Count
2025,1
2024,41779
2023,116601
2022,130407
2021,128705
2020,115618
2019,102627
2018,97193
2017,93012
2016,89474
2015,88853
2014,84104
2013,78206
2012,72230
2011,65955
2010,59000
2009,53441
2008,50279
2007,47090
2006,43807
2005,40525
2004,35665
2003,32987
2002,30398
2001,28677
2000,27417
1999,3
1993,10
