"Search query: ((""address""[Text Word]) OR (""addresses""[Text Word]) OR (""addressed""[Text Word]) OR (""addressing""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2026,4
2025,13693
2024,116901
2023,81685
2022,73946
2021,70797
2020,60847
2019,50239
2018,46217
2017,42827
2016,40212
2015,37610
2014,34930
2013,31903
2012,29303
2011,26583
2010,23633
2009,21090
2008,19662
2007,17510
2006,15882
2005,14331
2004,12551
2003,10929
2002,9842
2001,9199
2000,8283
1999,4
1998,1
1995,1
1994,1
1993,66
