"Search query: ((""associate with""[Text Word]) OR (""associates with""[Text Word]) OR (""associated with""[Text Word]) OR (""associating with""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,306557
2023,294397
2022,311988
2021,314048
2020,276845
2019,238930
2018,224189
2017,214156
2016,205193
2015,198131
2014,187292
2013,175381
2012,161104
2011,145752
2010,130091
2009,117554
2008,108947
2007,99960
2006,91063
2005,81840
2004,71990
2003,64908
2002,59805
2001,55635
2000,52669
