"Search query: ((""emerge""[Text Word]) OR (""emerges""[Text Word]) OR (""emerged""[Text Word]) OR (""emerging""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2026,3
2025,9309
2024,87874
2023,66947
2022,65094
2021,64822
2020,55035
2019,43375
2018,40226
2017,36840
2016,35171
2015,32716
2014,30315
2013,27841
2012,25187
2011,22225
2010,19821
2009,17094
2008,15008
2007,13170
2006,11680
2005,10301
2004,8754
2003,7547
2002,6511
2001,5790
2000,5121
1999,2
1994,1
1993,17
