"Search query: ((""encompass""[Text Word]) OR (""encompasses""[Text Word]) OR (""encompassed""[Text Word]) OR (""encompassing""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2026,1
2025,2654
2024,24797
2023,11195
2022,6984
2021,7127
2020,6023
2019,4982
2018,4845
2017,4559
2016,4495
2015,4166
2014,3863
2013,3563
2012,3457
2011,3183
2010,2822
2009,2502
2008,2336
2007,2240
2006,2025
2005,1853
2004,1666
2003,1523
2002,1388
2001,1374
2000,1273
1995,2
1993,28
