"Search query: ((""evaluate""[Text Word]) OR (""evaluates""[Text Word]) OR (""evaluated""[Text Word]) OR (""evaluating""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,289340
2023,273224
2022,287303
2021,284317
2020,253371
2019,217629
2018,202771
2017,191081
2016,182666
2015,175406
2014,165943
2013,154244
2012,142695
2011,129373
2010,115171
2009,102718
2008,95383
2007,87533
2006,79881
2005,72058
2004,63248
2003,57470
2002,52107
2001,48063
2000,45012
