"Search query: ((""examine""[Text Word]) OR (""examines""[Text Word]) OR (""examined""[Text Word]) OR (""examining""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,166208
2023,150043
2022,156302
2021,155964
2020,139647
2019,125691
2018,121336
2017,117538
2016,115893
2015,113848
2014,110205
2013,106116
2012,100923
2011,94726
2010,86577
2009,79985
2008,77250
2007,73151
2006,68861
2005,63552
2004,57797
2003,53725
2002,50193
2001,48707
2000,46981
