"Search query: ((""exhibit""[Text Word]) OR (""exhibits""[Text Word]) OR (""exhibited""[Text Word]) OR (""exhibiting""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2026,12
2025,19045
2024,178786
2023,111354
2022,95056
2021,92446
2020,85358
2019,77590
2018,72155
2017,67104
2016,62616
2015,60234
2014,56670
2013,51979
2012,46927
2011,42832
2010,38724
2009,34521
2008,32230
2007,29877
2006,27947
2005,25408
2004,22602
2003,20404
2002,18772
2001,17822
2000,17080
1998,1
1995,4
1994,1
1993,25
