"Search query: ((""explore""[Text Word]) OR (""explores""[Text Word]) OR (""explored""[Text Word]) OR (""exploring""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,192953
2023,147869
2022,146837
2021,130844
2020,106973
2019,86816
2018,76903
2017,68515
2016,62107
2015,57537
2014,52766
2013,46987
2012,42062
2011,36953
2010,31633
2009,27399
2008,24638
2007,21748
2006,19513
2005,16783
2004,14099
2003,11818
2002,10295
2001,9206
2000,8307
