"Search query: ((""facilitate""[Text Word]) OR (""facilitates""[Text Word]) OR (""facilitated""[Text Word]) OR (""facilitating""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,81815
2023,60977
2022,57967
2021,56563
2020,49076
2019,41910
2018,38610
2017,36078
2016,33953
2015,31829
2014,29870
2013,27819
2012,25362
2011,22879
2010,20546
2009,18308
2008,16804
2007,15237
2006,13865
2005,12644
2004,11267
2003,9723
2002,8839
2001,8233
2000,7678
