"Search query: ((""fortify""[Text Word]) OR (""fortifies""[Text Word]) OR (""fortified""[Text Word]) OR (""fortifying""[Text Word]) AND ((""1996""[Date - Publication] : ""2024""[Date - Publication]))) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2025,169
2024,1382
2023,1033
2022,955
2021,1004
2020,962
2019,873
2018,775
2017,798
2016,852
2015,766
2014,750
2013,761
2012,739
2011,676
2010,609
2009,577
2008,573
2007,561
2006,451
2005,386
2004,346
2003,368
2002,386
2001,345
2000,276
1993,1
