"Search query: ((""highlight""[Text Word]) OR (""highlights""[Text Word]) OR (""highlighted""[Text Word]) OR (""highlighting""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,160807
2023,104340
2022,94269
2021,90916
2020,74389
2019,58724
2018,53134
2017,48120
2016,44053
2015,39696
2014,36004
2013,31937
2012,28158
2011,24067
2010,20511
2009,17417
2008,14945
2007,12877
2006,11014
2005,9165
2004,7522
2003,6249
2002,5343
2001,4706
2000,4146
