"Search query: ((""identify""[Text Word]) OR (""identifies""[Text Word]) OR (""identified""[Text Word]) OR (""identifying""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,350533
2023,315372
2022,323176
2021,315245
2020,276001
2019,235131
2018,217777
2017,205124
2016,194452
2015,185061
2014,174133
2013,161371
2012,147201
2011,133281
2010,118882
2009,106291
2008,98072
2007,90274
2006,82549
2005,74767
2004,65728
2003,58714
2002,53331
2001,49466
2000,46698
