"Search query: ((""include in""[Text Word]) OR (""includes in""[Text Word]) OR (""included in""[Text Word]) OR (""including in""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,55956
2023,56776
2022,58640
2021,54894
2020,45672
2019,36756
2018,32811
2017,30362
2016,28174
2015,26041
2014,23592
2013,20845
2012,18353
2011,15956
2010,13897
2009,12066
2008,11238
2007,10180
2006,9261
2005,8072
2004,7010
2003,6337
2002,5629
2001,5160
2000,4778
