"Search query: ((""integrate""[Text Word]) OR (""integrates""[Text Word]) OR (""integrated""[Text Word]) OR (""integrating""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2026,3
2025,8021
2024,74664
2023,54574
2022,52956
2021,48557
2020,40612
2019,35007
2018,31881
2017,29087
2016,27385
2015,25322
2014,23263
2013,21347
2012,19535
2011,17336
2010,15279
2009,13546
2008,12069
2007,10970
2006,9991
2005,8610
2004,7584
2003,6462
2002,5862
2001,5388
2000,4915
1995,2
1993,2
