"Search query: ((""investigate""[Text Word]) OR (""investigates""[Text Word]) OR (""investigated""[Text Word]) OR (""investigating""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,281741
2023,261724
2022,269768
2021,264037
2020,239630
2019,213168
2018,200875
2017,189433
2016,181781
2015,177701
2014,168414
2013,158004
2012,145817
2011,133536
2010,120163
2009,109340
2008,102178
2007,94664
2006,87492
2005,80006
2004,69556
2003,62179
2002,57440
2001,54056
2000,50519
