"Search query: ((""necessitate""[Text Word]) OR (""necessitates""[Text Word]) OR (""necessitated""[Text Word]) OR (""necessitating""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2026,1
2025,2059
2024,18197
2023,8207
2022,6010
2021,5592
2020,4748
2019,3688
2018,3512
2017,3237
2016,3110
2015,3023
2014,2803
2013,2644
2012,2402
2011,2311
2010,2010
2009,1919
2008,1701
2007,1562
2006,1452
2005,1343
2004,1233
2003,1169
2002,1080
2001,1000
2000,968
1994,1
1993,12
