"Search query: ((""reveal""[Text Word]) OR (""reveals""[Text Word]) OR (""revealed""[Text Word]) OR (""revealing""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,265785
2023,211894
2022,209087
2021,200419
2020,178022
2019,154271
2018,143926
2017,134445
2016,128775
2015,123746
2014,116824
2013,109224
2012,101102
2011,92949
2010,84110
2009,76154
2008,70784
2007,65479
2006,60934
2005,55364
2004,48796
2003,44820
2002,41438
2001,39365
2000,37178
