"Search query: ((""transform""[Text Word]) OR (""transforms""[Text Word]) OR (""transformed""[Text Word]) OR (""transforming""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2025,2785
2024,28751
2023,26572
2022,27304
2021,26727
2020,25586
2019,23481
2018,22348
2017,20617
2016,20098
2015,20182
2014,20215
2013,19271
2012,17663
2011,16524
2010,15177
2009,13948
2008,13655
2007,13116
2006,12344
2005,11389
2004,10011
2003,8983
2002,8496
2001,8480
2000,8016
1995,3
1993,9
