"Search query: ((""understanding""[Text Word])) OR ((""understandings""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2026,7
2025,15156
2024,142555
2023,114450
2022,111644
2021,109342
2020,95185
2019,80577
2018,75064
2017,70178
2016,66065
2015,61973
2014,58109
2013,52905
2012,48307
2011,43339
2010,38337
2009,32961
2008,29896
2007,26768
2006,24352
2005,21464
2004,18496
2003,16109
2002,14555
2001,13180
2000,12107
1999,2
1995,4
1994,3
1993,4
