"Search query: ((""be found""[Text Word]) OR (""is found""[Text Word]) OR (""are found""[Text Word]) OR (""was found""[Text Word]) OR (""were found""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,112679
2023,117535
2022,125836
2021,126088
2020,115756
2019,102050
2018,96955
2017,93611
2016,93326
2015,93478
2014,91490
2013,87841
2012,84166
2011,78672
2010,72349
2009,67640
2008,65469
2007,63381
2006,60337
2005,56414
2004,50801
2003,47170
2002,44802
2001,43783
2000,41987
