"Search query: ((""be used""[Text Word]) OR (""is used""[Text Word]) OR (""are used""[Text Word]) OR (""was used""[Text Word]) OR (""were used""[Text Word]) OR (""being used""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,241074
2023,259531
2022,275384
2021,261891
2020,232744
2019,200395
2018,185171
2017,171398
2016,164701
2015,159115
2014,150137
2013,140072
2012,130909
2011,118126
2010,107186
2009,96701
2008,91220
2007,84994
2006,79209
2005,72292
2004,64225
2003,57604
2002,53107
2001,50415
2000,46975
