"Search query: ((""be collected""[Text Word]) OR (""is collected""[Text Word]) OR (""are collected""[Text Word]) OR (""was collected""[Text Word]) OR (""were collected""[Text Word]) OR (""being collected""[Text Word])) AND ((""2000/01/01""[Date - Publication] : ""2024/12/31""[Date - Publication]))"
Year,Count
2024,62661
2023,58771
2022,62420
2021,60208
2020,51923
2019,42906
2018,38977
2017,36092
2016,34198
2015,32062
2014,30522
2013,27930
2012,25314
2011,22403
2010,19382
2009,17173
2008,15976
2007,14503
2006,12894
2005,11504
2004,9770
2003,8650
2002,7709
2001,7237
2000,6425
